Maximum fit for each generation: 
Best fit for generation 87: 480.0
Best fit for generation 88: 480.0
Best fit for generation 89: 480.0
Best fit for generation 90: 480.0
Best fit for generation 91: 480.0
Best fit for generation 92: 480.0
Best fit for generation 93: 480.0
Best fit for generation 94: 480.0
Best fit for generation 95: 480.0
Best fit for generation 96: 480.0
Best fit for generation 97: 480.0
Best fit for generation 98: 480.0
Best fit for generation 99: 480.0
Best fit for generation 100: 480.0
Best fit for generation 101: 480.0
Best fit for generation 102: 480.0
Best fit for generation 103: 480.0
Best fit for generation 104: 480.0
Best fit for generation 105: 480.0
Best fit for generation 106: 480.0
Best fit for generation 107: 480.0
Best fit for generation 108: 480.0
Best fit for generation 109: 480.0
Best fit for generation 110: 480.0
Best fit for generation 111: 480.0
Best fit for generation 112: 480.0
Best fit for generation 113: 480.0
Best fit for generation 114: 480.0
Best fit for generation 115: 480.0
Best fit for generation 116: 480.0
Best fit for generation 117: 480.0
Best fit for generation 118: 480.0
Best fit for generation 119: 480.0
Best fit for generation 120: 480.0
Best fit for generation 121: 480.0
Best fit for generation 122: 480.0
Best fit for generation 123: 480.0
Best fit for generation 124: 480.0
Best fit for generation 125: 480.0
Best fit for generation 126: 480.0
Best fit for generation 127: 480.0
Best fit for generation 128: 480.0
Best fit for generation 129: 480.0
Best fit for generation 130: 480.0
Best fit for generation 131: 480.0
Best fit for generation 132: 480.0
Best fit for generation 133: 480.0
Best fit for generation 134: 480.0
Best fit for generation 135: 480.0
Best fit for generation 136: 480.0
Best fit for generation 137: 480.0
Best fit for generation 138: 480.0
Best fit for generation 139: 480.0
Best fit for generation 140: 480.0
Best fit for generation 141: 480.0
Best fit for generation 142: 480.0
Best fit for generation 143: 480.0
Best fit for generation 144: 480.0
Best fit for generation 145: 480.0
Best fit for generation 146: 480.0
Best fit for generation 147: 480.0
Best fit for generation 148: 480.0
Best fit for generation 149: 480.0
Best fit for generation 150: 480.0
Best fit for generation 151: 480.0
Best fit for generation 152: 480.0
Best fit for generation 153: 480.0
Best fit for generation 154: 480.0
Best fit for generation 155: 480.0
Best fit for generation 156: 480.0
Best fit for generation 157: 480.0
Best fit for generation 158: 480.0
Best fit for generation 159: 480.0
Best fit for generation 160: 480.0
Best fit for generation 161: 480.0
Best fit for generation 162: 480.0
Best fit for generation 163: 480.0
Best fit for generation 164: 480.0
Best fit for generation 165: 480.0
Best fit for generation 166: 480.0
Best fit for generation 167: 480.0
Best fit for generation 168: 480.0
Best fit for generation 169: 480.0
Best fit for generation 170: 480.0
Best fit for generation 171: 480.0
Best fit for generation 172: 480.0
Best fit for generation 173: 480.0
Best fit for generation 174: 480.0
Best fit for generation 175: 480.0
Best fit for generation 176: 480.0
Best fit for generation 177: 480.0
Best fit for generation 178: 480.0
Best fit for generation 179: 480.0
Best fit for generation 180: 480.0
Best fit for generation 181: 480.0
Best fit for generation 182: 480.0
Best fit for generation 183: 480.0
Best fit for generation 184: 480.0
Best fit for generation 185: 480.0
Best fit for generation 186: 480.0
Best fit for generation 187: 480.0
Best fit for generation 188: 480.0
Best fit for generation 189: 480.0
Best fit for generation 190: 480.0
Best fit for generation 191: 480.0
Best fit for generation 192: 480.0
Best fit for generation 193: 480.0
Best fit for generation 194: 480.0
Best fit for generation 195: 480.0
Best fit for generation 196: 480.0
Best fit for generation 197: 480.0
Best fit for generation 198: 480.0
Best fit for generation 199: 480.0
Best fit for generation 200: 480.0
Best fit for generation 201: 480.0
Best fit for generation 202: 480.0
Best fit for generation 203: 480.0
Best fit for generation 204: 480.0
Best fit for generation 205: 480.0
Best fit for generation 206: 480.0
Best fit for generation 207: 480.0
Best fit for generation 208: 480.0
Best fit for generation 209: 480.0
Best fit for generation 210: 480.0
Best fit for generation 211: 480.0
Best fit for generation 212: 480.0
Best fit for generation 213: 480.0
Best fit for generation 214: 480.0
Best fit for generation 215: 480.0
Best fit for generation 216: 480.0
Best fit for generation 217: 480.0
Best fit for generation 218: 480.0
Best fit for generation 219: 480.0
Best fit for generation 220: 480.0
Best fit for generation 221: 480.0
Best fit for generation 222: 480.0
Best fit for generation 223: 480.0
Best fit for generation 224: 480.0
Best fit for generation 225: 480.0
Best fit for generation 226: 480.0
Best fit for generation 227: 480.0
Best fit for generation 228: 480.0
Best fit for generation 229: 480.0
Best fit for generation 230: 480.0
Best fit for generation 231: 480.0
Best fit for generation 232: 480.0
Best fit for generation 233: 480.0
Best fit for generation 234: 480.0
Best fit for generation 235: 480.0
Best fit for generation 236: 480.0
Best fit for generation 237: 480.0
Best fit for generation 238: 480.0
Best fit for generation 239: 480.0
Best fit for generation 240: 480.0
Best fit for generation 241: 480.0
Best fit for generation 242: 480.0
Best fit for generation 243: 480.0
Best fit for generation 244: 480.0
Best fit for generation 245: 480.0
Best fit for generation 246: 480.0
Best fit for generation 247: 480.0
Best fit for generation 248: 480.0
Best fit for generation 249: 480.0
Best fit for generation 250: 480.0
Best fit for generation 251: 480.0
Best fit for generation 252: 480.0
Best fit for generation 253: 480.0
Best fit for generation 254: 480.0
Best fit for generation 255: 480.0
Best fit for generation 256: 480.0
Best fit for generation 257: 480.0
Best fit for generation 258: 480.0
Best fit for generation 259: 480.0
Best fit for generation 260: 480.0
Best fit for generation 261: 480.0
Best fit for generation 262: 519.0
Best fit for generation 263: 519.0
Best fit for generation 264: 519.0
Best fit for generation 265: 519.0
Best fit for generation 266: 519.0
Best fit for generation 267: 519.0
Best fit for generation 268: 519.0
Best fit for generation 269: 519.0
Best fit for generation 270: 519.0
Best fit for generation 271: 519.0
Best fit for generation 272: 519.0
Best fit for generation 273: 519.0
Best fit for generation 274: 519.0
