Maximum fit for each generation: 
Best fit for generation 351: 608
Best fit for generation 352: 608
Best fit for generation 353: 608
Best fit for generation 354: 608
Best fit for generation 355: 608
Best fit for generation 356: 608
Best fit for generation 357: 608
Best fit for generation 358: 608
Best fit for generation 359: 608
Best fit for generation 360: 608
Best fit for generation 361: 608
Best fit for generation 362: 608
Best fit for generation 363: 608
Best fit for generation 364: 608
Best fit for generation 365: 608
Best fit for generation 366: 608
Best fit for generation 367: 608
Best fit for generation 368: 608
Best fit for generation 369: 608
Best fit for generation 370: 608
Best fit for generation 371: 608
Best fit for generation 372: 608
Best fit for generation 373: 608
Best fit for generation 374: 608
Best fit for generation 375: 608
Best fit for generation 376: 608
Best fit for generation 377: 608
Best fit for generation 378: 608
Best fit for generation 379: 608
Best fit for generation 380: 608
Best fit for generation 381: 608
Best fit for generation 382: 608
Best fit for generation 383: 608
Best fit for generation 384: 608
Best fit for generation 385: 608
Best fit for generation 386: 608
Best fit for generation 387: 608
Best fit for generation 388: 608
Best fit for generation 389: 608
Best fit for generation 390: 608
Best fit for generation 391: 608
Best fit for generation 392: 608
Best fit for generation 393: 608
Best fit for generation 394: 608
Best fit for generation 395: 608
Best fit for generation 396: 608
Best fit for generation 397: 608
Best fit for generation 398: 608
Best fit for generation 399: 608
Best fit for generation 400: 608
Best fit for generation 401: 608
Best fit for generation 402: 608
Best fit for generation 403: 608
Best fit for generation 404: 608
Best fit for generation 405: 608
Best fit for generation 406: 608
Best fit for generation 407: 608
Best fit for generation 408: 608
Best fit for generation 409: 608
Best fit for generation 410: 608
Best fit for generation 411: 608
Best fit for generation 412: 608
Best fit for generation 413: 608
Best fit for generation 414: 608
Best fit for generation 415: 608
Best fit for generation 416: 608
Best fit for generation 417: 608
Best fit for generation 418: 608
Best fit for generation 419: 608
Best fit for generation 420: 608
Best fit for generation 421: 608
Best fit for generation 422: 608
Best fit for generation 423: 608
Best fit for generation 424: 608
Best fit for generation 425: 608
Best fit for generation 426: 608
Best fit for generation 427: 608
Best fit for generation 428: 608
Best fit for generation 429: 608
Best fit for generation 430: 608
Best fit for generation 431: 608
Best fit for generation 432: 608
Best fit for generation 433: 608
Best fit for generation 434: 608
Best fit for generation 435: 608
Best fit for generation 436: 608
Best fit for generation 437: 608
Best fit for generation 438: 608
Best fit for generation 439: 608
Best fit for generation 440: 608
Best fit for generation 441: 608
Best fit for generation 442: 608
Best fit for generation 443: 608
Best fit for generation 444: 608
Best fit for generation 445: 608
Best fit for generation 446: 608
Best fit for generation 447: 608
Best fit for generation 448: 608
Best fit for generation 449: 608
Best fit for generation 450: 608
Best fit for generation 451: 608
Best fit for generation 452: 608
Best fit for generation 453: 608
Best fit for generation 454: 608
Best fit for generation 455: 608
Best fit for generation 456: 608
Best fit for generation 457: 608
Best fit for generation 458: 608
Best fit for generation 459: 608
Best fit for generation 460: 608
Best fit for generation 461: 608
Best fit for generation 462: 608
Best fit for generation 463: 608
Best fit for generation 464: 608
Best fit for generation 465: 608
Best fit for generation 466: 608
Best fit for generation 467: 608
Best fit for generation 468: 608
Best fit for generation 469: 608
Best fit for generation 470: 608
Best fit for generation 471: 608
Best fit for generation 472: 608
Best fit for generation 473: 608
Best fit for generation 474: 608
Best fit for generation 475: 608
Best fit for generation 476: 608
Best fit for generation 477: 608
Best fit for generation 478: 608
