Maximum fit for each generation: 
Best fit for generation 103: 502
Best fit for generation 104: 502
Best fit for generation 105: 502
Best fit for generation 106: 502
Best fit for generation 107: 502
Best fit for generation 108: 502
Best fit for generation 109: 502
Best fit for generation 110: 502
Best fit for generation 111: 502
Best fit for generation 112: 502
Best fit for generation 113: 502
Best fit for generation 114: 502
Best fit for generation 115: 502
Best fit for generation 116: 502
Best fit for generation 117: 502
Best fit for generation 118: 502
Best fit for generation 119: 502
Best fit for generation 120: 502
Best fit for generation 121: 502
Best fit for generation 122: 502
Best fit for generation 123: 502
Best fit for generation 124: 502
Best fit for generation 125: 502
Best fit for generation 126: 502
Best fit for generation 127: 502
Best fit for generation 128: 502
Best fit for generation 129: 502
Best fit for generation 130: 502
Best fit for generation 131: 502
Best fit for generation 132: 502
Best fit for generation 133: 502
Best fit for generation 134: 502
Best fit for generation 135: 502
Best fit for generation 136: 502
Best fit for generation 137: 502
Best fit for generation 138: 502
Best fit for generation 139: 502
Best fit for generation 140: 502
Best fit for generation 141: 502
Best fit for generation 142: 502
Best fit for generation 143: 502
Best fit for generation 144: 502
Best fit for generation 145: 502
Best fit for generation 146: 502
Best fit for generation 147: 502
Best fit for generation 148: 502
Best fit for generation 149: 502
Best fit for generation 150: 502
Best fit for generation 151: 502
Best fit for generation 152: 502
Best fit for generation 153: 502
Best fit for generation 154: 502
Best fit for generation 155: 502
Best fit for generation 156: 502
Best fit for generation 157: 502
Best fit for generation 158: 502
Best fit for generation 159: 502
Best fit for generation 160: 502
Best fit for generation 161: 502
Best fit for generation 162: 502
Best fit for generation 163: 502
Best fit for generation 164: 502
Best fit for generation 165: 502
Best fit for generation 166: 502
Best fit for generation 167: 502
Best fit for generation 168: 502
Best fit for generation 169: 502
Best fit for generation 170: 502
Best fit for generation 171: 502
Best fit for generation 172: 502
Best fit for generation 173: 502
Best fit for generation 174: 502
Best fit for generation 175: 502
Best fit for generation 176: 502
Best fit for generation 177: 502
Best fit for generation 178: 502
Best fit for generation 179: 502
Best fit for generation 180: 502
Best fit for generation 181: 502
Best fit for generation 182: 502
Best fit for generation 183: 502
Best fit for generation 184: 502
Best fit for generation 185: 502
Best fit for generation 186: 502
Best fit for generation 187: 502
Best fit for generation 188: 502
Best fit for generation 189: 502
Best fit for generation 190: 502
Best fit for generation 191: 502
Best fit for generation 192: 502
Best fit for generation 193: 502
Best fit for generation 194: 502
Best fit for generation 195: 502
Best fit for generation 196: 502
Best fit for generation 197: 502
Best fit for generation 198: 502
Best fit for generation 199: 502
Best fit for generation 200: 502
Best fit for generation 201: 502
Best fit for generation 202: 502
Best fit for generation 203: 502
Best fit for generation 204: 502
Best fit for generation 205: 502
Best fit for generation 206: 502
Best fit for generation 207: 502
Best fit for generation 208: 502
Best fit for generation 209: 502
Best fit for generation 210: 502
Best fit for generation 211: 502
Best fit for generation 212: 502
Best fit for generation 213: 502
Best fit for generation 214: 502
Best fit for generation 215: 502
Best fit for generation 216: 502
Best fit for generation 217: 502
Best fit for generation 218: 502
Best fit for generation 219: 502
Best fit for generation 220: 502
Best fit for generation 221: 502
Best fit for generation 222: 502
Best fit for generation 223: 502
Best fit for generation 224: 502
Best fit for generation 225: 502
Best fit for generation 226: 502
Best fit for generation 227: 502
Best fit for generation 228: 502
Best fit for generation 229: 502
Best fit for generation 230: 502
Best fit for generation 231: 502
Best fit for generation 232: 502
Best fit for generation 233: 502
Best fit for generation 234: 502
Best fit for generation 235: 502
Best fit for generation 236: 502
Best fit for generation 237: 502
Best fit for generation 238: 502
Best fit for generation 239: 502
Best fit for generation 240: 502
Best fit for generation 241: 502
Best fit for generation 242: 502
Best fit for generation 243: 502
Best fit for generation 244: 502
Best fit for generation 245: 502
Best fit for generation 246: 502
Best fit for generation 247: 502
Best fit for generation 248: 502
Best fit for generation 249: 502
Best fit for generation 250: 502
Best fit for generation 251: 502
Best fit for generation 252: 502
Best fit for generation 253: 502
Best fit for generation 254: 502
Best fit for generation 255: 502
Best fit for generation 256: 502
Best fit for generation 257: 502
Best fit for generation 258: 502
Best fit for generation 259: 502
Best fit for generation 260: 502
Best fit for generation 261: 502
Best fit for generation 262: 502
Best fit for generation 263: 502
Best fit for generation 264: 502
Best fit for generation 265: 502
Best fit for generation 266: 502
Best fit for generation 267: 502
Best fit for generation 268: 502
Best fit for generation 269: 502
Best fit for generation 270: 502
Best fit for generation 271: 502
Best fit for generation 272: 502
Best fit for generation 273: 502
Best fit for generation 274: 502
Best fit for generation 275: 502
Best fit for generation 276: 502
Best fit for generation 277: 502
Best fit for generation 278: 502
Best fit for generation 279: 502
Best fit for generation 280: 502
Best fit for generation 281: 502
Best fit for generation 282: 502
Best fit for generation 283: 502
Best fit for generation 284: 502
Best fit for generation 285: 502
Best fit for generation 286: 502
Best fit for generation 287: 502
