Maximum fit for each generation: 
Best fit for generation 152: 509
Best fit for generation 153: 509
Best fit for generation 154: 509
Best fit for generation 155: 509
Best fit for generation 156: 509
Best fit for generation 157: 509
Best fit for generation 158: 509
Best fit for generation 159: 509
Best fit for generation 160: 509
Best fit for generation 161: 509
Best fit for generation 162: 509
Best fit for generation 163: 509
Best fit for generation 164: 509
Best fit for generation 165: 509
Best fit for generation 166: 509
Best fit for generation 167: 509
Best fit for generation 168: 509
Best fit for generation 169: 509
Best fit for generation 170: 509
Best fit for generation 171: 509
Best fit for generation 172: 509
Best fit for generation 173: 509
Best fit for generation 174: 509
Best fit for generation 175: 509
Best fit for generation 176: 509
Best fit for generation 177: 509
Best fit for generation 178: 509
Best fit for generation 179: 509
Best fit for generation 180: 509
Best fit for generation 181: 509
Best fit for generation 182: 509
Best fit for generation 183: 509
Best fit for generation 184: 509
Best fit for generation 185: 509
Best fit for generation 186: 509
Best fit for generation 187: 509
Best fit for generation 188: 509
Best fit for generation 189: 509
Best fit for generation 190: 509
Best fit for generation 191: 509
Best fit for generation 192: 509
Best fit for generation 193: 509
Best fit for generation 194: 509
Best fit for generation 195: 509
Best fit for generation 196: 509
Best fit for generation 197: 509
Best fit for generation 198: 509
Best fit for generation 199: 509
Best fit for generation 200: 509
Best fit for generation 201: 509
Best fit for generation 202: 509
Best fit for generation 203: 509
Best fit for generation 204: 509
Best fit for generation 205: 509
Best fit for generation 206: 509
Best fit for generation 207: 509
Best fit for generation 208: 509
Best fit for generation 209: 509
Best fit for generation 210: 509
Best fit for generation 211: 509
Best fit for generation 212: 509
Best fit for generation 213: 509
Best fit for generation 214: 509
Best fit for generation 215: 509
Best fit for generation 216: 509
Best fit for generation 217: 509
Best fit for generation 218: 509
Best fit for generation 219: 509
Best fit for generation 220: 509
Best fit for generation 221: 509
Best fit for generation 222: 509
Best fit for generation 223: 509
Best fit for generation 224: 509
Best fit for generation 225: 509
Best fit for generation 226: 509
Best fit for generation 227: 509
Best fit for generation 228: 509
Best fit for generation 229: 509
Best fit for generation 230: 509
Best fit for generation 231: 509
Best fit for generation 232: 509
Best fit for generation 233: 509
Best fit for generation 234: 509
Best fit for generation 235: 509
Best fit for generation 236: 509
Best fit for generation 237: 509
Best fit for generation 238: 509
Best fit for generation 239: 509
Best fit for generation 240: 509
Best fit for generation 241: 509
Best fit for generation 242: 509
Best fit for generation 243: 509
Best fit for generation 244: 509
Best fit for generation 245: 509
Best fit for generation 246: 509
Best fit for generation 247: 509
Best fit for generation 248: 509
Best fit for generation 249: 509
Best fit for generation 250: 509
Best fit for generation 251: 509
Best fit for generation 252: 509
Best fit for generation 253: 509
Best fit for generation 254: 509
Best fit for generation 255: 509
Best fit for generation 256: 509
Best fit for generation 257: 509
Best fit for generation 258: 509
Best fit for generation 259: 509
Best fit for generation 260: 509
Best fit for generation 261: 509
Best fit for generation 262: 509
Best fit for generation 263: 509
Best fit for generation 264: 509
Best fit for generation 265: 509
Best fit for generation 266: 509
Best fit for generation 267: 509
Best fit for generation 268: 509
Best fit for generation 269: 509
Best fit for generation 270: 509
Best fit for generation 271: 509
Best fit for generation 272: 509
Best fit for generation 273: 509
Best fit for generation 274: 509
Best fit for generation 275: 509
Best fit for generation 276: 509
Best fit for generation 277: 509
Best fit for generation 278: 509
Best fit for generation 279: 509
Best fit for generation 280: 509
Best fit for generation 281: 509
Best fit for generation 282: 509
Best fit for generation 283: 509
Best fit for generation 284: 509
Best fit for generation 285: 509
Best fit for generation 286: 509
Best fit for generation 287: 509
Best fit for generation 288: 509
Best fit for generation 289: 509
Best fit for generation 290: 509
Best fit for generation 291: 509
Best fit for generation 292: 509
Best fit for generation 293: 509
