Maximum fit for each generation: 
Best fit for generation 111: 413
Best fit for generation 112: 413
Best fit for generation 113: 413
Best fit for generation 114: 413
Best fit for generation 115: 413
Best fit for generation 116: 413
Best fit for generation 117: 413
Best fit for generation 118: 413
Best fit for generation 119: 413
Best fit for generation 120: 413
Best fit for generation 121: 413
Best fit for generation 122: 413
Best fit for generation 123: 413
Best fit for generation 124: 413
Best fit for generation 125: 413
Best fit for generation 126: 413
Best fit for generation 127: 413
Best fit for generation 128: 413
Best fit for generation 129: 413
Best fit for generation 130: 413
Best fit for generation 131: 413
Best fit for generation 132: 413
Best fit for generation 133: 413
Best fit for generation 134: 413
Best fit for generation 135: 413
Best fit for generation 136: 413
Best fit for generation 137: 413
Best fit for generation 138: 413
Best fit for generation 139: 413
Best fit for generation 140: 413
Best fit for generation 141: 413
Best fit for generation 142: 413
Best fit for generation 143: 413
Best fit for generation 144: 413
Best fit for generation 145: 413
Best fit for generation 146: 413
Best fit for generation 147: 413
Best fit for generation 148: 419
Best fit for generation 149: 419
Best fit for generation 150: 419
Best fit for generation 151: 419
Best fit for generation 152: 419
Best fit for generation 153: 419
Best fit for generation 154: 419
Best fit for generation 155: 419
Best fit for generation 156: 419
Best fit for generation 157: 419
Best fit for generation 158: 419
Best fit for generation 159: 419
Best fit for generation 160: 419
Best fit for generation 161: 419
Best fit for generation 162: 419
Best fit for generation 163: 419
Best fit for generation 164: 419
Best fit for generation 165: 419
Best fit for generation 166: 419
Best fit for generation 167: 419
Best fit for generation 168: 419
Best fit for generation 169: 419
Best fit for generation 170: 419
Best fit for generation 171: 419
Best fit for generation 172: 419
Best fit for generation 173: 419
Best fit for generation 174: 419
Best fit for generation 175: 419
Best fit for generation 176: 419
Best fit for generation 177: 419
Best fit for generation 178: 419
Best fit for generation 179: 419
Best fit for generation 180: 419
Best fit for generation 181: 419
Best fit for generation 182: 419
Best fit for generation 183: 419
Best fit for generation 184: 419
Best fit for generation 185: 419
Best fit for generation 186: 419
Best fit for generation 187: 419
Best fit for generation 188: 419
Best fit for generation 189: 419
Best fit for generation 190: 419
Best fit for generation 191: 419
Best fit for generation 192: 419
Best fit for generation 193: 419
Best fit for generation 194: 419
Best fit for generation 195: 419
Best fit for generation 196: 419
Best fit for generation 197: 419
Best fit for generation 198: 419
Best fit for generation 199: 419
Best fit for generation 200: 419
Best fit for generation 201: 419
Best fit for generation 202: 419
Best fit for generation 203: 419
Best fit for generation 204: 419
Best fit for generation 205: 419
Best fit for generation 206: 419
Best fit for generation 207: 419
Best fit for generation 208: 419
Best fit for generation 209: 419
Best fit for generation 210: 419
Best fit for generation 211: 419
Best fit for generation 212: 419
Best fit for generation 213: 419
Best fit for generation 214: 419
Best fit for generation 215: 419
Best fit for generation 216: 419
Best fit for generation 217: 419
Best fit for generation 218: 419
Best fit for generation 219: 419
Best fit for generation 220: 419
Best fit for generation 221: 419
Best fit for generation 222: 419
Best fit for generation 223: 419
Best fit for generation 224: 419
Best fit for generation 225: 419
Best fit for generation 226: 419
Best fit for generation 227: 419
Best fit for generation 228: 419
Best fit for generation 229: 419
Best fit for generation 230: 419
Best fit for generation 231: 419
Best fit for generation 232: 419
Best fit for generation 233: 419
Best fit for generation 234: 419
Best fit for generation 235: 419
Best fit for generation 236: 419
Best fit for generation 237: 419
Best fit for generation 238: 419
Best fit for generation 239: 419
Best fit for generation 240: 419
Best fit for generation 241: 419
Best fit for generation 242: 419
Best fit for generation 243: 419
Best fit for generation 244: 419
Best fit for generation 245: 419
Best fit for generation 246: 419
Best fit for generation 247: 419
Best fit for generation 248: 419
Best fit for generation 249: 419
Best fit for generation 250: 419
Best fit for generation 251: 419
Best fit for generation 252: 419
Best fit for generation 253: 419
Best fit for generation 254: 419
Best fit for generation 255: 419
Best fit for generation 256: 419
Best fit for generation 257: 419
Best fit for generation 258: 419
Best fit for generation 259: 419
Best fit for generation 260: 419
Best fit for generation 261: 419
Best fit for generation 262: 419
Best fit for generation 263: 419
Best fit for generation 264: 419
Best fit for generation 265: 419
Best fit for generation 266: 419
Best fit for generation 267: 419
Best fit for generation 268: 419
Best fit for generation 269: 419
Best fit for generation 270: 419
Best fit for generation 271: 419
Best fit for generation 272: 419
Best fit for generation 273: 419
Best fit for generation 274: 419
Best fit for generation 275: 419
Best fit for generation 276: 419
Best fit for generation 277: 419
Best fit for generation 278: 419
Best fit for generation 279: 419
Best fit for generation 280: 419
Best fit for generation 281: 419
Best fit for generation 282: 419
Best fit for generation 283: 419
Best fit for generation 284: 419
Best fit for generation 285: 419
Best fit for generation 286: 419
Best fit for generation 287: 419
Best fit for generation 288: 419
Best fit for generation 289: 419
Best fit for generation 290: 419
Best fit for generation 291: 419
Best fit for generation 292: 419
Best fit for generation 293: 419
Best fit for generation 294: 419
Best fit for generation 295: 419
Best fit for generation 296: 419
Best fit for generation 297: 419
Best fit for generation 298: 419
Best fit for generation 299: 419
Best fit for generation 300: 419
Best fit for generation 301: 419
Best fit for generation 302: 419
Best fit for generation 303: 419
Best fit for generation 304: 433
Best fit for generation 305: 433
Best fit for generation 306: 433
Best fit for generation 307: 433
Best fit for generation 308: 433
Best fit for generation 309: 433
Best fit for generation 310: 433
Best fit for generation 311: 433
Best fit for generation 312: 433
Best fit for generation 313: 433
Best fit for generation 314: 433
Best fit for generation 315: 433
Best fit for generation 316: 439
Best fit for generation 317: 439
Best fit for generation 318: 439
Best fit for generation 319: 439
Best fit for generation 320: 439
Best fit for generation 321: 439
Best fit for generation 322: 439
Best fit for generation 323: 439
Best fit for generation 324: 439
Best fit for generation 325: 439
Best fit for generation 326: 439
Best fit for generation 327: 439
Best fit for generation 328: 439
Best fit for generation 329: 439
Best fit for generation 330: 439
Best fit for generation 331: 439
Best fit for generation 332: 439
Best fit for generation 333: 439
Best fit for generation 334: 439
Best fit for generation 335: 439
Best fit for generation 336: 439
Best fit for generation 337: 439
Best fit for generation 338: 439
Best fit for generation 339: 439
Best fit for generation 340: 439
Best fit for generation 341: 439
Best fit for generation 342: 439
Best fit for generation 343: 439
Best fit for generation 344: 439
Best fit for generation 345: 439
Best fit for generation 346: 439
Best fit for generation 347: 439
Best fit for generation 348: 439
Best fit for generation 349: 439
Best fit for generation 350: 439
Best fit for generation 351: 439
Best fit for generation 352: 439
Best fit for generation 353: 439
Best fit for generation 354: 439
Best fit for generation 355: 439
Best fit for generation 356: 439
Best fit for generation 357: 439
Best fit for generation 358: 439
Best fit for generation 359: 439
Best fit for generation 360: 439
Best fit for generation 361: 439
Best fit for generation 362: 439
Best fit for generation 363: 439
Best fit for generation 364: 439
Best fit for generation 365: 439
Best fit for generation 366: 439
Best fit for generation 367: 439
Best fit for generation 368: 439
Best fit for generation 369: 439
Best fit for generation 370: 439
Best fit for generation 371: 439
Best fit for generation 372: 439
Best fit for generation 373: 439
Best fit for generation 374: 439
Best fit for generation 375: 439
Best fit for generation 376: 439
Best fit for generation 377: 439
Best fit for generation 378: 439
Best fit for generation 379: 439
Best fit for generation 380: 439
Best fit for generation 381: 439
Best fit for generation 382: 439
Best fit for generation 383: 439
Best fit for generation 384: 439
Best fit for generation 385: 439
Best fit for generation 386: 439
Best fit for generation 387: 439
Best fit for generation 388: 439
Best fit for generation 389: 439
Best fit for generation 390: 439
Best fit for generation 391: 439
Best fit for generation 392: 439
Best fit for generation 393: 439
Best fit for generation 394: 439
Best fit for generation 395: 447
Best fit for generation 396: 447
Best fit for generation 397: 447
Best fit for generation 398: 447
Best fit for generation 399: 447
Best fit for generation 400: 447
Best fit for generation 401: 447
Best fit for generation 402: 447
Best fit for generation 403: 447
Best fit for generation 404: 447
Best fit for generation 405: 447
Best fit for generation 406: 447
Best fit for generation 407: 447
Best fit for generation 408: 447
Best fit for generation 409: 447
Best fit for generation 410: 447
Best fit for generation 411: 447
Best fit for generation 412: 447
Best fit for generation 413: 447
Best fit for generation 414: 447
Best fit for generation 415: 447
Best fit for generation 416: 447
Best fit for generation 417: 447
Best fit for generation 418: 447
Best fit for generation 419: 447
Best fit for generation 420: 447
Best fit for generation 421: 447
Best fit for generation 422: 447
Best fit for generation 423: 447
Best fit for generation 424: 447
Best fit for generation 425: 447
Best fit for generation 426: 447
Best fit for generation 427: 447
Best fit for generation 428: 447
Best fit for generation 429: 447
Best fit for generation 430: 447
Best fit for generation 431: 447
Best fit for generation 432: 447
Best fit for generation 433: 447
Best fit for generation 434: 447
Best fit for generation 435: 447
Best fit for generation 436: 447
Best fit for generation 437: 447
Best fit for generation 438: 447
Best fit for generation 439: 447
Best fit for generation 440: 447
Best fit for generation 441: 447
Best fit for generation 442: 447
Best fit for generation 443: 447
Best fit for generation 444: 447
Best fit for generation 445: 447
Best fit for generation 446: 447
Best fit for generation 447: 447
Best fit for generation 448: 447
Best fit for generation 449: 447
Best fit for generation 450: 447
Best fit for generation 451: 447
