Maximum fit for each generation: 
Best fit for generation 88: 374
Best fit for generation 89: 374
Best fit for generation 90: 374
Best fit for generation 91: 374
Best fit for generation 92: 374
Best fit for generation 93: 374
Best fit for generation 94: 374
Best fit for generation 95: 374
Best fit for generation 96: 374
Best fit for generation 97: 374
Best fit for generation 98: 374
Best fit for generation 99: 374
Best fit for generation 100: 374
Best fit for generation 101: 374
Best fit for generation 102: 374
Best fit for generation 103: 374
Best fit for generation 104: 374
Best fit for generation 105: 374
Best fit for generation 106: 374
Best fit for generation 107: 374
Best fit for generation 108: 374
Best fit for generation 109: 374
Best fit for generation 110: 374
Best fit for generation 111: 374
Best fit for generation 112: 374
Best fit for generation 113: 374
Best fit for generation 114: 374
Best fit for generation 115: 374
Best fit for generation 116: 374
Best fit for generation 117: 374
Best fit for generation 118: 374
Best fit for generation 119: 374
Best fit for generation 120: 374
Best fit for generation 121: 374
Best fit for generation 122: 374
Best fit for generation 123: 374
Best fit for generation 124: 374
Best fit for generation 125: 374
Best fit for generation 126: 374
Best fit for generation 127: 374
Best fit for generation 128: 374
Best fit for generation 129: 374
Best fit for generation 130: 374
Best fit for generation 131: 374
Best fit for generation 132: 374
Best fit for generation 133: 374
Best fit for generation 134: 374
Best fit for generation 135: 374
Best fit for generation 136: 374
Best fit for generation 137: 374
Best fit for generation 138: 374
Best fit for generation 139: 374
Best fit for generation 140: 374
Best fit for generation 141: 374
Best fit for generation 142: 374
Best fit for generation 143: 374
Best fit for generation 144: 374
Best fit for generation 145: 374
Best fit for generation 146: 374
Best fit for generation 147: 374
Best fit for generation 148: 374
Best fit for generation 149: 374
Best fit for generation 150: 374
Best fit for generation 151: 374
Best fit for generation 152: 374
Best fit for generation 153: 374
Best fit for generation 154: 374
Best fit for generation 155: 374
Best fit for generation 156: 374
Best fit for generation 157: 374
Best fit for generation 158: 374
Best fit for generation 159: 374
Best fit for generation 160: 374
Best fit for generation 161: 374
Best fit for generation 162: 374
Best fit for generation 163: 374
Best fit for generation 164: 374
Best fit for generation 165: 374
Best fit for generation 166: 374
Best fit for generation 167: 374
Best fit for generation 168: 374
Best fit for generation 169: 374
Best fit for generation 170: 374
Best fit for generation 171: 374
Best fit for generation 172: 374
Best fit for generation 173: 374
Best fit for generation 174: 374
Best fit for generation 175: 374
Best fit for generation 176: 374
Best fit for generation 177: 374
Best fit for generation 178: 374
Best fit for generation 179: 374
Best fit for generation 180: 374
Best fit for generation 181: 374
Best fit for generation 182: 374
Best fit for generation 183: 374
Best fit for generation 184: 374
Best fit for generation 185: 374
Best fit for generation 186: 374
Best fit for generation 187: 374
Best fit for generation 188: 374
Best fit for generation 189: 374
Best fit for generation 190: 374
Best fit for generation 191: 374
Best fit for generation 192: 374
Best fit for generation 193: 374
Best fit for generation 194: 374
Best fit for generation 195: 374
Best fit for generation 196: 374
Best fit for generation 197: 374
Best fit for generation 198: 374
Best fit for generation 199: 374
Best fit for generation 200: 374
Best fit for generation 201: 374
Best fit for generation 202: 374
Best fit for generation 203: 374
Best fit for generation 204: 374
Best fit for generation 205: 374
Best fit for generation 206: 374
Best fit for generation 207: 374
Best fit for generation 208: 374
Best fit for generation 209: 374
Best fit for generation 210: 374
Best fit for generation 211: 374
Best fit for generation 212: 374
Best fit for generation 213: 374
Best fit for generation 214: 374
Best fit for generation 215: 374
Best fit for generation 216: 374
Best fit for generation 217: 374
Best fit for generation 218: 374
Best fit for generation 219: 374
Best fit for generation 220: 374
Best fit for generation 221: 374
Best fit for generation 222: 374
Best fit for generation 223: 374
Best fit for generation 224: 374
Best fit for generation 225: 374
Best fit for generation 226: 374
Best fit for generation 227: 374
Best fit for generation 228: 374
Best fit for generation 229: 374
Best fit for generation 230: 374
Best fit for generation 231: 374
Best fit for generation 232: 374
Best fit for generation 233: 374
Best fit for generation 234: 374
Best fit for generation 235: 374
Best fit for generation 236: 374
Best fit for generation 237: 374
Best fit for generation 238: 374
Best fit for generation 239: 374
Best fit for generation 240: 374
Best fit for generation 241: 374
Best fit for generation 242: 374
Best fit for generation 243: 374
Best fit for generation 244: 374
