Maximum fit for each generation: 
Best fit for generation 111: 447
Best fit for generation 112: 447
Best fit for generation 113: 447
Best fit for generation 114: 447
Best fit for generation 115: 447
Best fit for generation 116: 447
Best fit for generation 117: 447
Best fit for generation 118: 447
Best fit for generation 119: 447
Best fit for generation 120: 447
Best fit for generation 121: 447
Best fit for generation 122: 447
Best fit for generation 123: 447
Best fit for generation 124: 447
Best fit for generation 125: 447
Best fit for generation 126: 447
Best fit for generation 127: 447
Best fit for generation 128: 447
Best fit for generation 129: 447
Best fit for generation 130: 447
Best fit for generation 131: 447
Best fit for generation 132: 447
Best fit for generation 133: 447
Best fit for generation 134: 447
Best fit for generation 135: 447
Best fit for generation 136: 447
Best fit for generation 137: 447
Best fit for generation 138: 447
Best fit for generation 139: 447
Best fit for generation 140: 447
Best fit for generation 141: 447
Best fit for generation 142: 447
Best fit for generation 143: 447
Best fit for generation 144: 447
Best fit for generation 145: 447
Best fit for generation 146: 447
Best fit for generation 147: 447
Best fit for generation 148: 447
Best fit for generation 149: 447
Best fit for generation 150: 447
Best fit for generation 151: 447
Best fit for generation 152: 447
Best fit for generation 153: 447
Best fit for generation 154: 447
Best fit for generation 155: 447
Best fit for generation 156: 447
Best fit for generation 157: 447
Best fit for generation 158: 447
Best fit for generation 159: 447
Best fit for generation 160: 447
Best fit for generation 161: 447
Best fit for generation 162: 447
Best fit for generation 163: 447
Best fit for generation 164: 447
Best fit for generation 165: 447
Best fit for generation 166: 447
Best fit for generation 167: 447
Best fit for generation 168: 447
Best fit for generation 169: 447
Best fit for generation 170: 447
Best fit for generation 171: 447
Best fit for generation 172: 447
Best fit for generation 173: 447
Best fit for generation 174: 447
Best fit for generation 175: 447
Best fit for generation 176: 447
Best fit for generation 177: 447
Best fit for generation 178: 447
Best fit for generation 179: 447
Best fit for generation 180: 447
Best fit for generation 181: 447
Best fit for generation 182: 447
Best fit for generation 183: 447
Best fit for generation 184: 447
Best fit for generation 185: 447
Best fit for generation 186: 447
Best fit for generation 187: 447
Best fit for generation 188: 447
Best fit for generation 189: 447
Best fit for generation 190: 447
Best fit for generation 191: 447
Best fit for generation 192: 447
Best fit for generation 193: 447
Best fit for generation 194: 447
Best fit for generation 195: 447
