Maximum fit for each generation: 
Best fit for generation 440: 449
Best fit for generation 441: 449
Best fit for generation 442: 449
Best fit for generation 443: 449
Best fit for generation 444: 449
Best fit for generation 445: 449
Best fit for generation 446: 449
Best fit for generation 447: 449
Best fit for generation 448: 449
Best fit for generation 449: 449
Best fit for generation 450: 449
Best fit for generation 451: 449
Best fit for generation 452: 449
Best fit for generation 453: 449
Best fit for generation 454: 449
Best fit for generation 455: 449
Best fit for generation 456: 449
Best fit for generation 457: 449
Best fit for generation 458: 449
Best fit for generation 459: 449
Best fit for generation 460: 449
Best fit for generation 461: 449
Best fit for generation 462: 449
Best fit for generation 463: 449
Best fit for generation 464: 449
Best fit for generation 465: 449
Best fit for generation 466: 449
Best fit for generation 467: 449
Best fit for generation 468: 449
Best fit for generation 469: 449
Best fit for generation 470: 449
Best fit for generation 471: 449
Best fit for generation 472: 449
Best fit for generation 473: 449
Best fit for generation 474: 449
Best fit for generation 475: 449
Best fit for generation 476: 449
Best fit for generation 477: 449
Best fit for generation 478: 449
Best fit for generation 479: 449
Best fit for generation 480: 449
Best fit for generation 481: 449
Best fit for generation 482: 449
Best fit for generation 483: 449
Best fit for generation 484: 449
Best fit for generation 485: 449
Best fit for generation 486: 449
Best fit for generation 487: 449
Best fit for generation 488: 449
Best fit for generation 489: 449
Best fit for generation 490: 449
Best fit for generation 491: 449
Best fit for generation 492: 449
Best fit for generation 493: 449
Best fit for generation 494: 449
Best fit for generation 495: 449
Best fit for generation 496: 449
Best fit for generation 497: 449
Best fit for generation 498: 449
Best fit for generation 499: 449
Best fit for generation 500: 449
Best fit for generation 501: 449
Best fit for generation 502: 449
Best fit for generation 503: 449
Best fit for generation 504: 449
Best fit for generation 505: 449
Best fit for generation 506: 449
Best fit for generation 507: 449
Best fit for generation 508: 449
Best fit for generation 509: 449
Best fit for generation 510: 449
Best fit for generation 511: 449
Best fit for generation 512: 449
Best fit for generation 513: 449
Best fit for generation 514: 449
Best fit for generation 515: 449
Best fit for generation 516: 449
Best fit for generation 517: 449
Best fit for generation 518: 449
Best fit for generation 519: 449
Best fit for generation 520: 449
Best fit for generation 521: 449
Best fit for generation 522: 449
Best fit for generation 523: 449
Best fit for generation 524: 449
Best fit for generation 525: 449
Best fit for generation 526: 449
Best fit for generation 527: 449
Best fit for generation 528: 449
Best fit for generation 529: 449
Best fit for generation 530: 449
Best fit for generation 531: 449
Best fit for generation 532: 449
Best fit for generation 533: 449
Best fit for generation 534: 449
Best fit for generation 535: 449
Best fit for generation 536: 449
Best fit for generation 537: 449
Best fit for generation 538: 449
Best fit for generation 539: 449
Best fit for generation 540: 449
Best fit for generation 541: 449
Best fit for generation 542: 449
Best fit for generation 543: 449
Best fit for generation 544: 449
Best fit for generation 545: 449
Best fit for generation 546: 449
Best fit for generation 547: 449
Best fit for generation 548: 449
Best fit for generation 549: 449
Best fit for generation 550: 449
Best fit for generation 551: 449
Best fit for generation 552: 449
Best fit for generation 553: 449
Best fit for generation 554: 449
Best fit for generation 555: 449
Best fit for generation 556: 449
Best fit for generation 557: 449
Best fit for generation 558: 449
Best fit for generation 559: 449
Best fit for generation 560: 449
Best fit for generation 561: 449
Best fit for generation 562: 449
Best fit for generation 563: 449
Best fit for generation 564: 449
Best fit for generation 565: 449
Best fit for generation 566: 449
Best fit for generation 567: 449
Best fit for generation 568: 449
Best fit for generation 569: 449
Best fit for generation 570: 449
Best fit for generation 571: 449
Best fit for generation 572: 449
Best fit for generation 573: 449
Best fit for generation 574: 449
Best fit for generation 575: 449
Best fit for generation 576: 449
Best fit for generation 577: 449
Best fit for generation 578: 449
Best fit for generation 579: 449
Best fit for generation 580: 449
Best fit for generation 581: 449
Best fit for generation 582: 449
Best fit for generation 583: 449
Best fit for generation 584: 449
Best fit for generation 585: 449
Best fit for generation 586: 449
Best fit for generation 587: 449
Best fit for generation 588: 449
Best fit for generation 589: 449
Best fit for generation 590: 449
Best fit for generation 591: 449
Best fit for generation 592: 449
Best fit for generation 593: 449
Best fit for generation 594: 449
Best fit for generation 595: 449
Best fit for generation 596: 449
Best fit for generation 597: 449
Best fit for generation 598: 449
Best fit for generation 599: 449
Best fit for generation 600: 449
Best fit for generation 601: 449
Best fit for generation 602: 449
Best fit for generation 603: 449
Best fit for generation 604: 449
Best fit for generation 605: 449
Best fit for generation 606: 449
Best fit for generation 607: 449
Best fit for generation 608: 449
Best fit for generation 609: 449
Best fit for generation 610: 449
Best fit for generation 611: 449
Best fit for generation 612: 449
Best fit for generation 613: 449
Best fit for generation 614: 449
Best fit for generation 615: 449
Best fit for generation 616: 449
Best fit for generation 617: 449
Best fit for generation 618: 449
Best fit for generation 619: 449
Best fit for generation 620: 449
Best fit for generation 621: 449
Best fit for generation 622: 449
Best fit for generation 623: 449
