Maximum fit for each generation: 
Best fit for generation 346: 426
Best fit for generation 347: 426
Best fit for generation 348: 426
Best fit for generation 349: 426
Best fit for generation 350: 426
Best fit for generation 351: 426
Best fit for generation 352: 426
Best fit for generation 353: 426
Best fit for generation 354: 426
Best fit for generation 355: 426
Best fit for generation 356: 426
Best fit for generation 357: 426
Best fit for generation 358: 426
Best fit for generation 359: 426
Best fit for generation 360: 426
Best fit for generation 361: 426
Best fit for generation 362: 426
Best fit for generation 363: 426
Best fit for generation 364: 426
Best fit for generation 365: 426
Best fit for generation 366: 426
Best fit for generation 367: 426
Best fit for generation 368: 426
Best fit for generation 369: 426
Best fit for generation 370: 426
Best fit for generation 371: 426
Best fit for generation 372: 426
Best fit for generation 373: 426
Best fit for generation 374: 426
Best fit for generation 375: 426
Best fit for generation 376: 426
Best fit for generation 377: 426
Best fit for generation 378: 426
Best fit for generation 379: 426
Best fit for generation 380: 426
Best fit for generation 381: 426
Best fit for generation 382: 426
Best fit for generation 383: 426
Best fit for generation 384: 426
Best fit for generation 385: 426
Best fit for generation 386: 426
Best fit for generation 387: 426
Best fit for generation 388: 426
Best fit for generation 389: 426
Best fit for generation 390: 426
Best fit for generation 391: 426
Best fit for generation 392: 426
Best fit for generation 393: 426
Best fit for generation 394: 426
Best fit for generation 395: 426
Best fit for generation 396: 426
Best fit for generation 397: 426
Best fit for generation 398: 426
Best fit for generation 399: 426
Best fit for generation 400: 426
Best fit for generation 401: 426
Best fit for generation 402: 426
Best fit for generation 403: 426
Best fit for generation 404: 426
Best fit for generation 405: 426
Best fit for generation 406: 426
Best fit for generation 407: 426
Best fit for generation 408: 426
Best fit for generation 409: 426
Best fit for generation 410: 426
Best fit for generation 411: 426
Best fit for generation 412: 426
Best fit for generation 413: 426
Best fit for generation 414: 426
Best fit for generation 415: 426
Best fit for generation 416: 426
Best fit for generation 417: 426
Best fit for generation 418: 426
Best fit for generation 419: 426
Best fit for generation 420: 426
Best fit for generation 421: 426
Best fit for generation 422: 426
Best fit for generation 423: 426
Best fit for generation 424: 426
Best fit for generation 425: 426
Best fit for generation 426: 426
Best fit for generation 427: 426
Best fit for generation 428: 426
Best fit for generation 429: 426
Best fit for generation 430: 426
Best fit for generation 431: 426
Best fit for generation 432: 426
Best fit for generation 433: 426
Best fit for generation 434: 426
Best fit for generation 435: 426
Best fit for generation 436: 426
Best fit for generation 437: 426
Best fit for generation 438: 426
Best fit for generation 439: 426
Best fit for generation 440: 426
Best fit for generation 441: 426
Best fit for generation 442: 426
Best fit for generation 443: 426
Best fit for generation 444: 426
Best fit for generation 445: 426
Best fit for generation 446: 426
Best fit for generation 447: 426
Best fit for generation 448: 426
Best fit for generation 449: 426
Best fit for generation 450: 426
Best fit for generation 451: 426
Best fit for generation 452: 426
Best fit for generation 453: 426
Best fit for generation 454: 426
Best fit for generation 455: 426
Best fit for generation 456: 426
Best fit for generation 457: 426
Best fit for generation 458: 426
Best fit for generation 459: 426
Best fit for generation 460: 426
Best fit for generation 461: 426
Best fit for generation 462: 426
Best fit for generation 463: 426
Best fit for generation 464: 426
Best fit for generation 465: 426
Best fit for generation 466: 426
Best fit for generation 467: 426
Best fit for generation 468: 426
Best fit for generation 469: 426
Best fit for generation 470: 426
Best fit for generation 471: 426
Best fit for generation 472: 426
Best fit for generation 473: 426
Best fit for generation 474: 426
Best fit for generation 475: 426
Best fit for generation 476: 426
Best fit for generation 477: 426
Best fit for generation 478: 426
Best fit for generation 479: 426
Best fit for generation 480: 426
Best fit for generation 481: 426
